"Field","Type","Null","Key","Default","Extra"
"comment_id","int unsigned","NO","PRI",NA,"auto_increment"
"date","date","YES","",NA,""
"pt_id","int","YES","",NA,""
"location_1","text","NO","",NA,""
"location_2","text","YES","",NA,""
"location_3","text","YES","",NA,""
"comment_type","text","YES","",NA,""
"comment_txt","text","YES","",NA,""
"fft","double","YES","",NA,""
"sex","text","YES","",NA,""
"gender","text","YES","",NA,""
"age","text","YES","",NA,""
"ethnicity","text","YES","",NA,""
"sexuality","text","YES","",NA,""
"disability","text","YES","",NA,""
"religion","text","YES","",NA,""
"category","text","YES","",NA,""
"super_category","text","YES","",NA,""
"sentiment","int","YES","",NA,""
"last_upload_date","datetime","NO","",NA,""
"last_edit_date","datetime","YES","",NA,""
"extra_variable_1","text","YES","",NA,""
"extra_variable_2","text","YES","",NA,""
"extra_variable_3","text","YES","",NA,""
"hidden","int","NO","","0",""
